fecha,estado,tipo,segmento,detalle,clientes_actual,variacion
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 169 RINCON ANDALUZ: VALUE LITRO cambio de 10.00% a 30.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 172 MALVARROSA: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 176 COSA S: VALUE LITRO cambio de 10.00% a 30.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 179 SAMUEL: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 196 MAITE: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 198 EL GRILLITO: VALUE LITRO cambio de 10.00% a 30.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 199 LOS ABUELOS: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 201 TETE: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 204 CRISTILLY: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 214 EL PICHON: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 220 HORACIO: VALUE LITRO cambio de 10.00% a 30.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 226 SAN CAYETANO: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 232 EL TATA: VALUE LITRO cambio de 10.00% a 30.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 233 PAOLA I: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 236 LOS MELLIZOS: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 253 LOS TRABAJADORES II: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 257 CHELA: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 266 TONY: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 269 SU AUTOSERVICE: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 272 RAYEN'S: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 273 DOBLE A: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 275 EL DELFIN: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 283 EL SATELITE: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 293 PENI: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 294 EL SOL: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 296 CACHITO: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 297 J.S: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 300 LINCANRAY: VALUE LITRO cambio de 10.00% a 30.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 301 BIANCA FIAMBRERIA: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 304 EL GAUCHO: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 309 EL COLO: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 310 LAS HERAS: VALUE LITRO cambio de 10.00% a 30.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 319 GAMALIEL: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 322 SOLEDAD: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 332 TIRO FEDERAL: VALUE LITRO cambio de 10.00% a 30.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 335 MAXI: VALUE LITRO cambio de 10.00% a 30.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 336 YAYI: VALUE LITRO cambio de 10.00% a 30.50%.,,+20.5 puntos
2026-09-26,alerta,cambio_porcentaje,VALUE,Cliente 347 TRES PILARES: VALUE LITRO cambio de 15.00% a 35.50%.,,+20.5 puntos
